OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31609,2024-050R,2024-11-28T23:27:14.814720,15.30200510,.0000371,53.1563,184.3401,142.4304,217.6723,0,U,59269,999,4040,.28643E-3,.8134E-4,0
STARLINK-31616,2024-050S,2024-11-28T22:02:19.770432,15.30183301,.0001266,53.1593,184.6818,108.7258,251.3880,0,U,59270,999,4039,.51985E-4,.118E-4,0
STARLINK-31630,2024-050T,2024-11-27T07:09:04.386816,15.39618684,.0000646,53.1593,184.5220,102.9165,257.1912,0,U,59271,999,4025,.149E-4,.197E-5,0
STARLINK-31623,2024-050U,2024-11-29T00:14:12.529536,15.30190673,.0001228,53.1586,183.8397,102.2569,257.8569,0,U,59272,999,4041,.40018E-4,.826E-5,0
STARLINK-31595,2024-050V,2024-11-28T08:04:57.900864,15.30197188,.0001081,53.1584,187.4630,82.6164,277.4959,0,U,59273,999,4029,.16136E-3,.4422E-4,0
STARLINK-31463,2024-056A,2024-11-29T01:23:19.351968,15.40719162,.0000676,43.0019,357.5287,255.0122,105.0660,0,U,59296,999,3975,.12461E-3,.4909E-4,0
STARLINK-31487,2024-056B,2024-11-28T08:42:04.618944,15.40684648,.0001468,43.0045,0.8975,262.6089,97.4601,0,U,59297,999,3976,.36328E-5,-.152E-5,0
STARLINK-31386,2024-056C,2024-11-28T12:11:20.807808,15.40699557,.00011,43.0040,0.2719,257.6349,102.4385,0,U,59298,999,3966,.91392E-4,.3516E-4,0
STARLINK-31409,2024-056D,2024-11-29T02:37:20.301600,15.40698086,.0001748,43.0054,357.0513,272.3426,87.7231,0,U,59299,999,3986,.11836E-4,.191E-5,0
STARLINK-31489,2024-056E,2024-11-29T02:24:26.330400,15.40702139,.0000548,43.0005,356.9799,250.9048,109.1749,0,U,59300,999,3976,.32448E-3,.13275E-3,0
STARLINK-31502,2024-056F,2024-11-29T04:00:01.999584,15.40653264,.0001386,43.0020,356.1170,240.0139,327.7625,0,U,59301,999,3951,.23572E-2,.99298E-3,0
STARLINK-31447,2024-056G,2024-11-28T10:34:45.529536,15.40714963,.0000777,42.9989,0.6268,148.8359,211.2543,0,U,59302,999,3965,.10157E-3,.3944E-4,0
STARLINK-31504,2024-056H,2024-11-29T01:58:37.580160,15.40703010,.0001317,43.0074,356.8475,279.3518,80.7189,0,U,59303,999,3976,.15585E-4,.348E-5,0
STARLINK-31474,2024-056J,2024-11-28T08:32:22.508448,15.40696170,.000057,42.9992,0.8432,237.6263,122.4538,0,U,59304,999,3964,.91742E-4,.3531E-4,0
STARLINK-31500,2024-056K,2024-11-28T12:04:53.817024,15.40691630,.0003109,43.0057,0.2330,261.2167,98.8337,0,U,59305,999,3966,.11011E-3,.4297E-4,0
STARLINK-31480,2024-056L,2024-11-28T09:11:06.690912,15.40678072,.0001531,43.0029,1.0544,269.5969,90.4712,0,U,59306,999,3964,.30999E-4,.991E-5,0
STARLINK-31282,2024-056M,2024-11-29T01:55:23.778912,15.40708656,.0001568,43.0000,356.8200,246.7933,113.2758,0,U,59307,999,3976,.41243E-4,.142E-4,0
STARLINK-31485,2024-056N,2024-11-29T03:15:51.015168,15.40706029,.0003062,43.0069,356.3771,282.2000,77.8514,0,U,59308,999,3977,.79331E-4,.3012E-4,0
STARLINK-31455,2024-056P,2024-11-29T02:40:34.241952,15.40703515,.0002041,43.0025,357.0634,263.2008,96.8616,0,U,59309,999,3955,-.36504E-4,-.1829E-4,0
STARLINK-31475,2024-056Q,2024-11-28T03:23:28.352832,15.40702748,.0001276,43.0017,2.6830,246.5480,113.5242,0,U,59310,999,3972,.10576E-3,.4117E-4,0
STARLINK-31445,2024-056S,2024-11-28T08:29:08.622528,15.40708412,.0001054,42.9990,0.8252,250.1694,109.9049,0,U,59312,999,3964,.43552E-4,.1517E-4,0
STARLINK-31495,2024-056T,2024-11-29T01:29:35.852064,15.40699168,.0001333,43.0006,356.6839,260.0084,100.0622,0,U,59313,999,3976,.5671E-4,.2066E-4,0
STARLINK-31477,2024-056U,2024-11-29T02:30:51.153408,15.40739592,.0001902,43.0002,357.0088,139.8737,220.2260,0,U,59314,999,3976,.24937E-3,.10141E-3,0
STARLINK-31446,2024-056V,2024-11-28T09:20:45.343680,15.40702062,.0001322,43.0069,1.1031,268.3435,91.7270,0,U,59315,999,3964,.85464E-5,.54E-6,0
STARLINK-31479,2024-056W,2024-11-29T04:00:01.999584,15.42250449,.0000852,43.0017,355.3842,183.4673,324.7540,0,U,59316,999,3979,.28306E-2,.126285E-2,0
